order_id,order_date,customer_id,product,category,units,unit_price,channel
ORD-50280,2025-01-01,C1044,Hiking Sock,apparel,2,18.43,web
ORD-50313,2025-01-01,C1051,Hiking Sock,apparel,3,18.29,Web
ORD-50722,2025-01-01,C1099,Approach Shoe,footwear,2,158.99,web
ORD-50859,2025-01-01,C1117,Trekking Poles,hardware,8,95.33,retail
ORD-50927,2025-01-01,C1125,Hiking Sock,apparel,16,17.81,Retail
ORD-51998,2025-01-01,C1273,Trail Runner,footwear,3,127.14,web
ORD-52283,2025-01-01,C1305,Rain Shell,outerwear,5,224.99,partner
ORD-52293,2025-01-01,C1306,Rain Shell,outerwear,1,223.45,Web
ORD-52345,2025-01-01,C1314,Down Jacket,outerwear,1,320.21, retail
ORD-52537,2025-01-01,C1345,Rain Shell,outerwear,6,214.01,Retail
ORD-52694,2025-01-01,C1366,Headlamp,hardware,1,41.27,web
ORD-52776,2025-01-01,C1379,Headlamp,hardware,6,40.79, retail
ORD-52840,2025-01-01,C1389,Approach Shoe,footwear,1,148.08,web
ORD-50467,2025-01-02,C1065,Approach Shoe,footwear,11,149.39,Retail
ORD-50563,2025-01-02,C1081,Hiking Sock,apparel,7,18.27,web
ORD-50919,2025-01-02,C1124,Trail Runner,footwear,3,124.87,web
ORD-51067,2025-01-02,C1139,Down Jacket,outerwear,1,328.57,Retail
ORD-51760,2025-01-02,C1244,Headlamp,hardware,1,43.65,partner
ORD-51899,2025-01-02,C1261,Trekking Poles,hardware,4,95.06,retail
ORD-52192,2025-01-02,C1296,Down Jacket,outerwear,12,319.66,partner
ORD-52595,2025-01-02,C1353,Daypack 22L,packs,8,113.01,retail
ORD-52604,2025-01-02,C1353,Headlamp,hardware,8,40.55,web
ORD-52900,2025-01-02,C1397,Daypack 22L,packs,8,114.27,web
ORD-52903,2025-01-02,C1397,Headlamp,hardware,7,41.65,web
ORD-50030,2025-01-03,C1006,Approach Shoe,footwear,2,153.46,retail
ORD-50408,2025-01-03,C1063,Expedition Pack 65L,packs,4,340.04,web
ORD-50577,2025-01-03,C1083,Trekking Poles,hardware,2,95.33,retail
ORD-50869,2025-01-03,C1117,Trail Runner,footwear,12,131.06,Retail
ORD-50993,2025-01-03,C1131,Headlamp,hardware,2,42.69,web
ORD-51429,2025-01-03,C1197,Expedition Pack 65L,packs,3,340.22,partner
ORD-51739,2025-01-03,C1240,Rain Shell,outerwear,1,226.01, retail
ORD-51892,2025-01-03,C1260,Headlamp,hardware,8,42.54,retail
ORD-51898,2025-01-03,C1261,Trekking Poles,hardware,5,95.02,Web
ORD-52323,2025-01-03,C1310,Approach Shoe,footwear,2,155.03,partner
ORD-52464,2025-01-03,C1333,Rain Shell,outerwear,3,217.76,retail
ORD-52551,2025-01-03,C1346,Down Jacket,outerwear,1,306.95,web
ORD-52641,2025-01-03,C1357,Down Jacket,outerwear,6,307.32,retail
ORD-52866,2025-01-03,C1391,Hiking Sock,apparel,1,18.06,Retail
ORD-50075,2025-01-04,C1015,Headlamp,hardware,2,42.62,partner
ORD-50233,2025-01-04,C1039,Rain Shell,outerwear,7,214.15,retail
ORD-50253,2025-01-04,C1040,Hiking Sock,apparel,9,18.79,partner
ORD-50380,2025-01-04,C1057,Daypack 22L,packs,10,108.79,retail
ORD-50440,2025-01-04,C1064,Trail Runner,footwear,,128.44,Retail
ORD-50516,2025-01-04,C1075,Expedition Pack 65L,packs,2,348.75,WEB 
ORD-50606,2025-01-04,C1084,Base Layer,apparel,11,69.22,web
ORD-50673,2025-01-04,C1094,Headlamp,hardware,1,41.21,Retail
ORD-50938,2025-01-04,C1126,Trekking Poles,hardware,4,93.44,partner
ORD-50944,2025-01-04,C1128,Daypack 22L,packs,9,114.6,web
