customer_id,region,segment,signup_date
C1000,West,consumer,2024-07-24
C1001,South,consumer,2025-10-30
C1002,North,consumer,2025-06-21
C1003,West,consumer,2024-11-29
C1004,South,consumer,2025-08-26
C1005,West,enterprise,2025-01-26
C1006,East,consumer,2025-07-27
C1007,East,consumer,2024-05-29
C1008,South,consumer,2025-09-16
C1009,North,consumer,2025-06-09
C1010,North,consumer,2024-12-26
C1011,South,consumer,2024-10-15
C1012,North,smb,2025-06-02
C1013,South,consumer,2024-12-18
C1014,South,smb,2025-08-25
C1015,South,smb,2025-12-27
C1016,East,consumer,2025-10-05
C1017,South,smb,2024-10-18
C1018,South,consumer,2025-02-17
C1019,East,enterprise,2025-03-13
C1020,North,consumer,2025-01-27
C1021,West,smb,2024-06-06
C1022,East,consumer,2024-12-31
C1023,South,consumer,2025-01-02
C1024,South,smb,2025-01-26
C1025,West,smb,2025-10-23
C1026,South,consumer,2025-07-03
C1027,East,consumer,2024-06-05
C1028,East,consumer,2024-10-05
C1029,East,consumer,2025-12-12
C1030,South,consumer,2025-07-16
C1031,West,consumer,2025-11-08
C1032,West,consumer,2025-08-27
C1033,North,consumer,2025-04-27
C1034,North,consumer,2024-05-25
C1035,East,smb,2024-10-04
C1036,South,smb,2025-10-11
C1037,West,consumer,2025-10-28
C1038,South,smb,2025-07-03
C1039,North,enterprise,2025-10-29
C1040,West,enterprise,2024-08-05
C1041,East,consumer,2024-09-14
C1042,East,smb,2024-12-19
C1043,South,consumer,2024-01-14
C1044,East,smb,2025-08-06
C1045,North,consumer,2025-01-26
C1046,South,consumer,2024-03-16
C1047,West,consumer,2025-09-20
C1048,North,consumer,2025-01-01
C1049,South,smb,2025-05-21
C1050,East,consumer,2025-12-17
C1051,West,consumer,2025-04-23
C1052,North,consumer,2024-09-25
C1053,East,smb,2025-04-20
C1054,West,smb,2025-06-15
C1055,North,consumer,2025-09-15
C1056,North,smb,2024-04-13
C1057,West,enterprise,2024-11-14
C1058,East,consumer,2024-02-29
C1059,North,consumer,2025-09-03
C1060,South,consumer,2025-04-05
C1061,North,consumer,2025-04-26
C1062,East,consumer,2024-01-15
C1063,West,consumer,2025-05-21
C1064,South,enterprise,2024-12-14
C1065,East,enterprise,2024-05-05
C1066,North,consumer,2025-07-04
C1067,East,consumer,2024-06-11
C1068,North,consumer,2024-07-24
C1069,East,consumer,2024-01-10
C1070,West,consumer,2024-12-09
C1071,West,smb,2024-08-06
C1072,South,consumer,2024-06-15
C1073,East,consumer,2024-11-29
C1074,North,consumer,2025-09-03
C1075,North,smb,2024-09-18
C1076,East,enterprise,2024-09-17
C1077,North,consumer,2025-07-14
C1078,West,consumer,2024-12-21
C1079,West,consumer,2025-10-14
C1080,South,smb,2024-01-06
C1081,North,smb,2025-04-15
C1082,North,consumer,2024-01-17
C1083,East,consumer,2024-11-15
C1084,North,enterprise,2024-06-05
C1085,North,consumer,2024-11-15
C1086,West,consumer,2025-03-06
C1087,North,consumer,2024-11-26
C1088,East,consumer,2025-05-14
C1089,East,smb,2024-01-29
C1090,East,smb,2024-05-20
C1091,East,consumer,2024-07-25
C1092,South,smb,2024-08-28
C1093,West,smb,2025-01-12
C1094,West,consumer,2024-05-19
C1095,North,smb,2025-12-26
C1096,South,consumer,2025-05-17
C1097,North,enterprise,2025-03-12
C1098,North,consumer,2025-08-07
